YYYYMMDD,UVIEF,UVIEFerr,UVDEF,UVDEFerr,UVDEC,UVDECerr,UVDVF,UVDVFerr,UVDVC,UVDVCerr,UVDDF,UVDDFerr,UVDDC,UVDDCerr,CMF,ozone
20020701,9.348,0.519,5.263,0.337,-1.0,-1.0,9.831,0.833,-1.0,-1.0,2.785,0.283,-1.0,-1.0,-1.0,318.6
20020702,9.821,0.519,5.513,0.336,-1.0,-1.0,10.412,0.832,-1.0,-1.0,3.029,0.283,-1.0,-1.0,-1.0,307.2
20020703,8.325,0.518,4.711,0.335,-1.0,-1.0,8.56,0.831,-1.0,-1.0,2.281,0.282,-1.0,-1.0,-1.0,346.4
20020704,8.874,0.518,5.001,0.335,-1.0,-1.0,9.234,0.83,-1.0,-1.0,2.547,0.282,-1.0,-1.0,-1.0,330.2
20020705,8.847,0.518,4.984,0.335,-1.0,-1.0,9.196,0.829,-1.0,-1.0,2.533,0.282,-1.0,-1.0,-1.0,330.6
20020706,9.814,0.518,5.496,0.335,-1.0,-1.0,10.384,0.828,-1.0,-1.0,3.024,0.281,-1.0,-1.0,-1.0,306.3
20020707,8.574,0.516,4.831,0.333,-1.0,-1.0,8.849,0.825,-1.0,-1.0,2.399,0.28,-1.0,-1.0,-1.0,337.6
20020708,10.1,0.517,5.64,0.333,-1.0,-1.0,10.723,0.825,-1.0,-1.0,3.173,0.28,-1.0,-1.0,-1.0,299.4
20020709,10.874,0.517,6.047,0.333,-1.0,-1.0,11.67,0.823,-1.0,-1.0,3.592,0.28,-1.0,-1.0,-1.0,283.8
20020710,10.577,0.516,5.884,0.332,-1.0,-1.0,11.296,0.822,-1.0,-1.0,3.428,0.279,-1.0,-1.0,-1.0,289.1
20020711,8.989,0.514,5.035,0.331,-1.0,-1.0,9.336,0.819,-1.0,-1.0,2.6,0.278,-1.0,-1.0,-1.0,324.5
20020712,8.613,0.513,4.831,0.33,-1.0,-1.0,8.868,0.817,-1.0,-1.0,2.416,0.278,-1.0,-1.0,-1.0,334.4
20020713,8.897,0.513,4.976,0.33,-1.0,-1.0,9.208,0.816,-1.0,-1.0,2.554,0.277,-1.0,-1.0,-1.0,326.1
20020714,9.009,0.512,5.03,0.328,-1.0,-1.0,9.339,0.813,-1.0,-1.0,2.609,0.276,-1.0,-1.0,-1.0,322.6
20020715,8.55,0.511,4.782,0.327,-1.0,-1.0,8.769,0.811,-1.0,-1.0,2.384,0.275,-1.0,-1.0,-1.0,334.6
20020716,9.426,0.511,5.24,0.327,-1.0,-1.0,9.832,0.809,-1.0,-1.0,2.817,0.275,-1.0,-1.0,-1.0,311.1
20020717,9.327,0.51,5.181,0.326,-1.0,-1.0,9.702,0.807,-1.0,-1.0,2.766,0.274,-1.0,-1.0,-1.0,312.9
20020718,8.658,0.509,4.822,0.325,-1.0,-1.0,8.877,0.804,-1.0,-1.0,2.434,0.273,-1.0,-1.0,-1.0,329.8
20020719,8.598,0.508,4.784,0.324,-1.0,-1.0,8.795,0.802,-1.0,-1.0,2.405,0.273,-1.0,-1.0,-1.0,330.8
20020720,8.884,0.507,4.928,0.323,-1.0,-1.0,9.134,0.799,-1.0,-1.0,2.543,0.271,-1.0,-1.0,-1.0,322.3
20020721,9.087,0.506,5.028,0.322,-1.0,-1.0,9.371,0.796,-1.0,-1.0,2.643,0.271,-1.0,-1.0,-1.0,316.4
20020722,8.59,0.505,4.76,0.321,-1.0,-1.0,8.759,0.794,-1.0,-1.0,2.4,0.27,-1.0,-1.0,-1.0,328.9
20020723,8.744,0.504,4.834,0.32,-1.0,-1.0,8.936,0.791,-1.0,-1.0,2.473,0.269,-1.0,-1.0,-1.0,323.9
20020724,9.255,0.503,5.094,0.319,-1.0,-1.0,9.544,0.789,-1.0,-1.0,2.725,0.268,-1.0,-1.0,-1.0,310.0
20020725,8.036,0.501,4.449,0.317,-1.0,-1.0,8.062,0.784,-1.0,-1.0,2.137,0.267,-1.0,-1.0,-1.0,343.0
20020726,8.623,0.5,4.748,0.316,-1.0,-1.0,8.759,0.782,-1.0,-1.0,2.413,0.266,-1.0,-1.0,-1.0,324.8
20020727,8.465,0.499,4.658,0.315,-1.0,-1.0,8.558,0.779,-1.0,-1.0,2.338,0.265,-1.0,-1.0,-1.0,328.3
20020728,8.828,0.498,4.84,0.314,-1.0,-1.0,8.984,0.776,-1.0,-1.0,2.512,0.264,-1.0,-1.0,-1.0,317.5
20020729,9.018,0.497,4.931,0.312,-1.0,-1.0,9.202,0.773,-1.0,-1.0,2.605,0.263,-1.0,-1.0,-1.0,311.7
20020730,8.928,0.495,4.875,0.311,-1.0,-1.0,9.082,0.768,-1.0,-1.0,2.56,0.261,-1.0,-1.0,-1.0,313.0
20020731,9.434,0.494,5.129,0.309,-1.0,-1.0,9.675,0.765,-1.0,-1.0,2.811,0.26,-1.0,-1.0,-1.0,299.9
20020801,8.767,0.492,4.775,0.308,-1.0,-1.0,8.866,0.762,-1.0,-1.0,2.481,0.259,-1.0,-1.0,-1.0,315.2
20020802,8.798,0.491,4.782,0.307,-1.0,-1.0,8.891,0.758,-1.0,-1.0,2.496,0.258,-1.0,-1.0,-1.0,313.4
20020803,9.711,0.49,5.243,0.305,-1.0,-1.0,9.965,0.754,-1.0,-1.0,2.951,0.256,-1.0,-1.0,-1.0,290.8
20020804,8.624,0.487,4.675,0.303,-1.0,-1.0,8.66,0.75,-1.0,-1.0,2.412,0.255,-1.0,-1.0,-1.0,315.7
20020805,9.071,0.486,4.895,0.302,-1.0,-1.0,9.178,0.747,-1.0,-1.0,2.629,0.254,-1.0,-1.0,-1.0,303.3
20020806,8.591,0.484,4.64,0.3,-1.0,-1.0,8.597,0.743,-1.0,-1.0,2.396,0.253,-1.0,-1.0,-1.0,314.3
20020807,7.59,0.482,4.118,0.298,-1.0,-1.0,7.403,0.737,-1.0,-1.0,1.935,0.251,-1.0,-1.0,-1.0,343.1
20020808,8.231,0.48,4.437,0.297,-1.0,-1.0,8.148,0.734,-1.0,-1.0,2.226,0.249,-1.0,-1.0,-1.0,321.8
20020809,8.67,0.479,4.651,0.295,-1.0,-1.0,8.652,0.73,-1.0,-1.0,2.434,0.248,-1.0,-1.0,-1.0,308.5
20020810,8.396,0.477,4.502,0.293,-1.0,-1.0,8.317,0.726,-1.0,-1.0,2.304,0.247,-1.0,-1.0,-1.0,314.5
20020811,8.005,0.475,4.294,0.291,-1.0,-1.0,7.848,0.72,-1.0,-1.0,2.123,0.245,-1.0,-1.0,-1.0,324.3
20020812,7.97,0.473,4.267,0.29,-1.0,-1.0,7.796,0.716,-1.0,-1.0,2.108,0.244,-1.0,-1.0,-1.0,323.8
20020813,7.694,0.47,4.118,0.288,-1.0,-1.0,7.462,0.712,-1.0,-1.0,1.983,0.242,-1.0,-1.0,-1.0,330.9
20020814,7.74,0.468,4.132,0.286,-1.0,-1.0,7.505,0.707,-1.0,-1.0,2.005,0.241,-1.0,-1.0,-1.0,327.8
20020815,8.791,0.467,4.652,0.284,-1.0,-1.0,8.715,0.702,-1.0,-1.0,2.495,0.239,-1.0,-1.0,-1.0,297.2
20020816,8.122,0.464,4.305,0.282,-1.0,-1.0,7.925,0.697,-1.0,-1.0,2.18,0.237,-1.0,-1.0,-1.0,313.3
20020817,8.63,0.463,4.55,0.28,-1.0,-1.0,8.5,0.693,-1.0,-1.0,2.419,0.236,-1.0,-1.0,-1.0,298.2
